,Acento,El Caribe,El Día,El Nacional,El Nuevo Diario,Diario Libre,Hoy,Listín Diario,Z 101.5FM,Zol 106.5FM,CDN 37,Teleantillas 2,Grupo SIN 7,Telemicro 5,Telesistema 11,PLD,PRM,PRSC,PRD,ALPAIS,APD,FNP,PQDC,Leonel Fernández,Danilo Medina,Margarita Cedeño de Fernández,Reinaldo Pared Pérez,Lucía Medina,Abel Martínez,Cristina Lizardo,Gustavo Montalvo,Hipólito Mejía,Luis Abinader,Orlando Jorge Mera,Jesus 'Chu' Vásquez,Geanilda Vásquez,Alfredo Pacheco,David Collado,Milagros Ortiz Bosch,Quique Antún Batle,Ramón Rogelio Genao,Willis Rogelio Genao,Ito Bisonó,Miguel Vargas Maldonado,Fello Suberví Bonilla,Víctor Gómez Casanova,Guido Gómez Mazara,Guillermo Moreno,Fidelio Despradel,Guadalupe Valdez,Aura Celeste Fernández,Minou Tavárez Mirabal,Max Puig,Carlos de la Peña,Elías Wessin Chávez,Vinicito Castillo Semán,Pelegrín Castillo Semán
Acento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,0,0,0,2,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
El Caribe,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,4,0,0,0,0,0,0,4,24,3,0,0,0,0,1,7,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Día,0,0,0,3,0,0,3,2,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,2,16,0,0,0,0,0,1,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
El Nacional,0,0,3,0,0,0,3,2,0,0,0,3,0,0,3,2,4,0,0,0,0,0,0,3,2,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Nuevo Diario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,1,0,1,16,1,2,1,1,0,1,9,4,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
Diario Libre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hoy,0,0,3,3,0,0,0,2,0,0,0,3,0,0,3,6,6,2,0,0,0,0,0,1,20,0,0,2,0,0,1,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Listín Diario,0,0,2,2,0,0,2,0,0,0,0,2,0,0,2,2,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z 101.5FM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zol 106.5FM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDN 37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,15,0,0,0,0,0,4,21,2,0,0,0,0,3,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0
Teleantillas 2,0,0,3,3,0,0,3,2,0,0,0,0,0,0,3,2,8,0,0,0,0,0,0,0,7,0,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grupo SIN 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,12,0,0,0,0,0,0,9,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Telemicro 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,10,0,0,2,0,0,0,8,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
